name,formatted_address,business_status,url,vicinity,category_1,category_2,latitude,longitude
Mc Donald's Barber Shop,"21 N Butler St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11591902588783383747,"21 North Butler Street, Madison",leisure,hair_care,,
Milt the Barber,"21 N Butler St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13035500694370058315,"21 North Butler Street, Madison",leisure,hair_care,,
J. Lefthandbull Salon,"21 N Butler St Suite 5, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=18180412011651696563,"21 North Butler Street Suite 5, Madison",leisure,hair_care,,
Downtown Barber,"21 N Butler St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5483567558743824156,"21 North Butler Street, Madison",leisure,hair_care,,
JT Barber Hair Salon Studios,"Butler Plaza LLC, 21 N Butler St Suite 3, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12089539287766116241,"Butler Plaza LLC, 21 North Butler Street Suite 3, Madison",leisure,hair_care,,
Mary's Off the Square,"21 N Butler St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=4396875979956828613,"21 North Butler Street, Madison",leisure,hair_care,,
Lily Forest Designs (by appointment only),"100 S Baldwin St Suite. 308, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13413269756899134020,"100 South Baldwin Street Suite. 308, Madison",leisure,florist,,
Lust Beautyworks,"415 E Washington Ave, Madison, WI 53703, USA",CLOSED_TEMPORARILY,https://maps.google.com/?cid=757713381023197146,"415 East Washington Avenue, Madison",leisure,beauty_salon,,
Kismet Aveda Salon,"846 E Washington Ave #102, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12599979786556262006,"846 East Washington Avenue #102, Madison",leisure,beauty_salon,,
Citrine Salon,"812 E Dayton St Suite 208, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=17807883988017391822,"812 East Dayton Street Suite 208, Madison",leisure,beauty_salon,,
The Shop,"811 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5125839938030700382,"811 East Johnson Street, Madison",leisure,beauty_salon,,
Pizzazz Barber Shop,"21 N Butler St #4, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11248130920620056560,"21 North Butler Street #4, Madison",leisure,beauty_salon,,
Elaagance Lashes,"502 E Main St LL1, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=8293437503831262141,"502 East Main Street LL1, Madison",leisure,beauty_salon,,
Butler Street Hair Designs,"21 N Butler St # 7, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=8942320246874077553,"21 North Butler Street # 7, Madison",leisure,beauty_salon,,
Self-Serve Laundry,"701 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10042599295035171365,"701 East Johnson Street, Madison",service,laundry,,
www.GoBestClean.Com,"906 E Mifflin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=8494459529731807490,"906 East Mifflin Street, Madison",service,laundry,,
Northern Metal & Roofing Co,"615 E Dayton St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5438413976757683022,"615 East Dayton Street, Madison",service,roofing_contractor,,
Bullseye Exteriors,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15606808972201438475,Madison,service,roofing_contractor,,
Doyle Exteriors Gen Contracting,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13626382168454242834,Madison,service,roofing_contractor,,
Riverside Construction,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13707570710973759791,Madison,service,roofing_contractor,,
J V Renovations,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11192748685230035099,Madison,service,roofing_contractor,,
Bock Water Heaters Inc,"110 S Dickinson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11707891492222928322,"110 South Dickinson Street, Madison",service,plumber,,
Stahl Plumbing Services Llc,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10567806685547929300,Madison,service,plumber,,
Addie Water Systems,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16023813960122089729,Madison,service,plumber,,
Howe Brothers Plumbing LLC,"1215 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=7097382168760719402,"1215 Williamson Street, Madison",service,plumber,,
Dr Rooter Plumbing,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=17743352215846471909,Madison,service,plumber,,
Mister Car Wash,"1039 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3622740499819337420,"1039 East Washington Avenue, Madison",service,car_wash,,
bp,"735 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=14038886732452887613,"735 East Washington Avenue, Madison",service,car_wash,,
Amoco,"1130 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=14757129102774763690,"1130 Williamson Street, Madison",service,car_wash,,
Madison Mobile Auto Detailing,"931 E Main St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10301455325920916809,"931 East Main Street, Madison",service,car_wash,,
Goodyear Auto Service,"608 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=702257376525270807,"608 East Washington Avenue, Madison",service,car_repair,,
Scooter Therapy Inc.,"12 N Few St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16539685852461017850,"12 North Few Street, Madison",service,car_repair,,
Jiffy Lube,"1102 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13343910249854937237,"1102 East Washington Avenue, Madison",service,car_repair,,
Scott Kiel Electric,"435 N Ingersoll St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=6195882482544199938,"435 North Ingersoll Street, Madison",service,electrician,,
Steve's Tattoo & Body Piercing,"1205 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3767591919576851043,"1205 Williamson Street, Madison",gift&store,store,,
Burnie's Rock Shop,"901 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=6074183002641606488,"901 East Johnson Street, Madison",gift&store,store,,
